latency,duration,type,marker_value,key,timestamp,marker_id
0.195203,4.778561,sensor_check,true,-1,1689122357.871526,1
4.981572,0.000000,published_date,2023-07-12T00:14:35.503044Z,-1,1689122362.657895,2
4.989381,1.967642,phase_Instructions_phase_1,46354,-1,1689122362.665704,3
4.989381,1.967642,text_element_djez,NULL,-1,1689122362.665704,4
6.957023,612.514759,active_period,true,-1,1689122364.633346,5
7.058529,10.017801,phase_Stimuli_phase_1,46355,-1,1689122364.734852,6
7.058529,10.017801,text_element_q681,rest,-1,1689122364.734852,7
17.091946,30.131485,phase_1,46356,-1,1689122374.768269,8
17.099754,6.004435,text_element_gmia,1,-1,1689122374.776077,9
23.111997,6.020050,text_element_z6up,2,-1,1689122380.788320,10
29.147663,6.004435,text_element_pod4,3,-1,1689122386.823986,11
35.167714,6.020050,text_element_velq,4,-1,1689122392.844037,12
41.203381,6.020050,text_element_amub,5,-1,1689122398.879704,13
47.239047,30.115869,phase_2,46377,-1,1689122404.915370,14
47.239047,6.012243,text_element_gmia,1,-1,1689122404.915370,15
53.259098,6.020050,text_element_z6up,2,-1,1689122410.935421,16
59.286956,6.020051,text_element_pod4,3,-1,1689122416.963279,17
65.314815,6.012242,text_element_velq,4,-1,1689122422.991138,18
71.342674,6.012242,text_element_amub,5,-1,1689122429.018997,19
77.362724,30.100252,phase_3,46378,-1,1689122435.039047,20
77.362724,6.012242,text_element_gmia,1,-1,1689122435.039047,21
83.390583,6.004434,text_element_z6up,2,-1,1689122441.066906,22
89.410633,6.012242,text_element_pod4,3,-1,1689122447.086956,23
95.430683,6.004435,text_element_velq,4,-1,1689122453.107006,24
101.450734,6.012242,text_element_amub,5,-1,1689122459.127057,25
107.470784,30.108061,phase_4,46382,-1,1689122465.147107,26
107.470784,6.020051,text_element_gmia,1,-1,1689122465.147107,27
113.506451,6.004434,text_element_z6up,2,-1,1689122471.182774,28
119.518694,6.012242,text_element_pod4,3,-1,1689122477.195017,29
125.538744,6.020050,text_element_velq,4,-1,1689122483.215067,30
131.566603,6.012242,text_element_amub,5,-1,1689122489.242926,31
137.586653,30.131485,phase_5,46383,-1,1689122495.262976,32
137.594461,6.020051,text_element_gmia,1,-1,1689122495.270784,33
143.622320,6.012242,text_element_z6up,2,-1,1689122501.298643,34
149.642370,6.020051,text_element_pod4,3,-1,1689122507.318693,35
155.678037,6.004434,text_element_velq,4,-1,1689122513.354360,36
161.698087,6.020051,text_element_amub,5,-1,1689122519.374410,37
167.733754,30.108060,phase_6,46384,-1,1689122525.410077,38
167.733754,6.012242,text_element_gmia,1,-1,1689122525.410077,39
173.753805,6.012242,text_element_z6up,2,-1,1689122531.430128,40
179.781663,6.012242,text_element_pod4,3,-1,1689122537.457986,41
185.801714,6.012242,text_element_velq,4,-1,1689122543.478037,42
191.821764,6.020050,text_element_amub,5,-1,1689122549.498087,43
197.849623,30.115868,phase_7,46385,-1,1689122555.525946,44
197.849623,6.020050,text_element_gmia,1,-1,1689122555.525946,45
203.877481,6.012242,text_element_z6up,2,-1,1689122561.553804,46
209.905340,6.012242,text_element_pod4,3,-1,1689122567.581663,47
215.925390,6.012242,text_element_velq,4,-1,1689122573.601713,48
221.953249,6.012242,text_element_amub,5,-1,1689122579.629572,49
227.981107,30.092444,phase_8,46386,-1,1689122585.657430,50
227.981107,6.012243,text_element_gmia,1,-1,1689122585.657430,51
234.001158,6.004434,text_element_z6up,2,-1,1689122591.677481,52
240.021208,6.004434,text_element_pod4,3,-1,1689122597.697531,53
246.041259,6.012242,text_element_velq,4,-1,1689122603.717582,54
252.061309,6.012242,text_element_amub,5,-1,1689122609.737632,55
258.089168,30.100252,phase_9,46379,-1,1689122615.765491,56
258.089168,6.012242,text_element_gmia,1,-1,1689122615.765491,57
264.109218,6.020051,text_element_z6up,2,-1,1689122621.785541,58
270.137077,6.012242,text_element_pod4,3,-1,1689122627.813400,59
276.164935,6.004435,text_element_velq,4,-1,1689122633.841258,60
282.184986,6.004434,text_element_amub,5,-1,1689122639.861309,61
288.197228,30.108061,phase_10,46387,-1,1689122645.873551,62
288.197228,6.012243,text_element_gmia,1,-1,1689122645.873551,63
294.217279,6.020050,text_element_z6up,2,-1,1689122651.893602,64
300.245137,6.012243,text_element_pod4,3,-1,1689122657.921460,65
306.272996,6.004434,text_element_velq,4,-1,1689122663.949319,66
312.285238,6.020051,text_element_amub,5,-1,1689122669.961561,67
318.313097,30.100252,phase_11,46380,-1,1689122675.989420,68
318.313097,6.012242,text_element_gmia,1,-1,1689122675.989420,69
324.333147,6.012242,text_element_z6up,2,-1,1689122682.009470,70
330.361006,6.004434,text_element_pod4,3,-1,1689122688.037329,71
336.381056,6.012242,text_element_velq,4,-1,1689122694.057379,72
342.401107,6.012242,text_element_amub,5,-1,1689122700.077430,73
348.428965,30.084636,phase_12,46381,-1,1689122706.105288,74
348.428965,6.004435,text_element_gmia,1,-1,1689122706.105288,75
354.449016,6.012242,text_element_z6up,2,-1,1689122712.125339,76
360.469066,6.004434,text_element_pod4,3,-1,1689122718.145389,77
366.489116,6.004435,text_element_velq,4,-1,1689122724.165439,78
372.501359,6.020050,text_element_amub,5,-1,1689122730.177682,79
378.529218,30.115868,phase_13,46388,-1,1689122736.205541,80
378.529218,6.020050,text_element_gmia,1,-1,1689122736.205541,81
384.564884,6.012243,text_element_z6up,2,-1,1689122742.241207,82
390.584935,6.012242,text_element_pod4,3,-1,1689122748.261258,83
396.612793,5.996626,text_element_velq,4,-1,1689122754.289116,84
402.617228,6.027858,text_element_amub,5,-1,1689122760.293551,85
408.652894,30.092445,phase_14,46389,-1,1689122766.329217,86
408.652894,6.012243,text_element_gmia,1,-1,1689122766.329217,87
414.672945,6.012242,text_element_z6up,2,-1,1689122772.349268,88
420.700803,5.996626,text_element_pod4,3,-1,1689122778.377126,89
426.720854,6.004434,text_element_velq,4,-1,1689122784.397177,90
432.733096,6.012243,text_element_amub,5,-1,1689122790.409419,91
438.753146,30.108061,phase_15,46391,-1,1689122796.429469,92
438.753146,6.012243,text_element_gmia,1,-1,1689122796.429469,93
444.773197,6.012242,text_element_z6up,2,-1,1689122802.449520,94
450.801055,6.012243,text_element_pod4,3,-1,1689122808.477378,95
456.828914,6.004434,text_element_velq,4,-1,1689122814.505237,96
