latency,duration,type,marker_value,key,timestamp,marker_id
0.109313,7.815907,sensor_check,true,-1,1689315266.963965,1
7.925220,0.000000,published_date,2023-07-14T04:51:31.284338Z,-1,1689315274.779872,2
7.933028,2.615713,phase_Instructions_phase_1,46511,-1,1689315274.787680,3
7.933028,2.615713,text_element_l74n,NULL,-1,1689315274.787680,4
10.556549,70.288505,active_period,true,-1,1689315277.411201,5
10.650246,10.009983,phase_rest,46512,-1,1689315277.504898,6
10.650246,10.009983,rest_10s,rest,-1,1689315277.504898,7
20.660229,6.012236,phase_1,46513,-1,1689315287.514881,8
20.660229,0.999437,text_element_0bc1,1,-1,1689315287.514881,9
21.667474,5.004991,text_element_wssy,wait,-1,1689315288.522126,10
26.672465,1.015053,text_element_0bc1,1,-1,1689315293.527117,11
26.672465,6.020044,phase_2,46514,-1,1689315293.527117,12
27.687518,5.004991,text_element_wssy,wait,-1,1689315294.542170,13
32.692509,6.020044,phase_3,46515,-1,1689315299.547161,14
32.692509,1.007245,text_element_0bc1,1,-1,1689315299.547161,15
33.699754,5.012799,text_element_wssy,wait,-1,1689315300.554406,16
38.712553,6.027853,phase_4,46516,-1,1689315305.567205,17
38.712553,1.007245,text_element_0bc1,1,-1,1689315305.567205,18
39.719798,5.020608,text_element_wssy,wait,-1,1689315306.574450,19
44.740406,6.012236,phase_5,46517,-1,1689315311.595058,20
44.740406,0.999436,text_element_0bc1,1,-1,1689315311.595058,21
45.739842,5.012800,text_element_wssy,wait,-1,1689315312.594494,22
50.752642,6.020044,phase_6,46518,-1,1689315317.607294,23
50.752642,1.015053,text_element_0bc1,1,-1,1689315317.607294,24
51.767695,5.004991,text_element_wssy,wait,-1,1689315318.622347,25
56.772686,6.012236,phase_7,46519,-1,1689315323.627338,26
56.772686,1.007244,text_element_0bc1,1,-1,1689315323.627338,27
57.779930,5.004992,text_element_wssy,wait,-1,1689315324.634582,28
62.784922,1.015053,text_element_0bc1,1,-1,1689315329.639574,29
62.784922,6.027852,phase_8,46520,-1,1689315329.639574,30
63.799975,5.012799,text_element_wssy,wait,-1,1689315330.654627,31
68.812774,1.015053,text_element_0bc1,1,-1,1689315335.667426,32
68.812774,6.012236,phase_9,46521,-1,1689315335.667426,33
69.827827,4.997183,text_element_wssy,wait,-1,1689315336.682479,34
74.825010,6.020044,phase_10,46522,-1,1689315341.679662,35
74.832818,0.999437,text_element_0bc1,1,-1,1689315341.687470,36
75.832255,5.012799,text_element_wssy,wait,-1,1689315342.686907,37
80.837246,0.000000,last_stimuli,2023-07-14T15:15:47.694+09:00,-1,1689315347.691898,38
80.845054,0.000000,finish_running,2023-07-14T15:15:47.698+09:00,-1,1689315347.699706,39
