latency,duration,type,marker_value,key,timestamp,marker_id
0.109314,18.161636,sensor_check,true,-1,1689315366.040870,1
18.270950,3.092007,text_element_l74n,NULL,-1,1689315384.202506,2
18.270950,3.092007,phase_Instructions_phase_1,46511,-1,1689315384.202506,3
18.270950,0.000000,published_date,2023-07-14T04:51:31.284338Z,-1,1689315384.202506,4
21.362957,70.335348,active_period,true,-1,1689315387.294513,5
21.456654,10.017790,phase_rest,46512,-1,1689315387.388210,6
21.464462,10.009982,rest_10s,rest,-1,1689315387.396018,7
31.474444,1.007245,text_element_0bc1,1,-1,1689315397.406000,8
31.474444,6.012236,phase_1,46513,-1,1689315397.406000,9
32.481689,5.004991,text_element_wssy,wait,-1,1689315398.413245,10
37.486680,1.015052,text_element_0bc1,1,-1,1689315403.418236,11
37.486680,6.027851,phase_2,46514,-1,1689315403.418236,12
38.501732,5.012799,text_element_wssy,wait,-1,1689315404.433288,13
43.514531,1.015053,text_element_0bc1,1,-1,1689315409.446087,14
43.514531,6.027852,phase_3,46515,-1,1689315409.446087,15
44.537392,5.004991,text_element_wssy,wait,-1,1689315410.468948,16
49.542383,0.999437,text_element_0bc1,1,-1,1689315415.473939,17
49.542383,6.020044,phase_4,46516,-1,1689315415.473939,18
50.549628,5.012799,text_element_wssy,wait,-1,1689315416.481184,19
55.562427,6.020044,phase_5,46517,-1,1689315421.493983,20
55.562427,1.015053,text_element_0bc1,1,-1,1689315421.493983,21
56.577480,5.004991,text_element_wssy,wait,-1,1689315422.509036,22
61.582471,1.015052,text_element_0bc1,1,-1,1689315427.514027,23
61.582471,6.035660,phase_6,46518,-1,1689315427.514027,24
62.605332,5.012799,text_element_wssy,wait,-1,1689315428.536888,25
67.618131,6.020043,phase_7,46519,-1,1689315433.549687,26
67.618131,1.015052,text_element_0bc1,1,-1,1689315433.549687,27
68.633183,5.004991,text_element_wssy,wait,-1,1689315434.564739,28
73.645982,0.999437,text_element_0bc1,1,-1,1689315439.577538,29
73.645982,6.012236,phase_8,46520,-1,1689315439.577538,30
74.645419,5.012799,text_element_wssy,wait,-1,1689315440.576975,31
79.658218,1.015053,text_element_0bc1,1,-1,1689315445.589774,32
79.658218,6.020043,phase_9,46521,-1,1689315445.589774,33
80.673271,5.004990,text_element_wssy,wait,-1,1689315446.604827,34
85.686070,0.999436,text_element_0bc1,1,-1,1689315451.617626,35
85.686070,6.012235,phase_10,46522,-1,1689315451.617626,36
86.685506,5.012799,text_element_wssy,wait,-1,1689315452.617062,37
91.698305,0.000000,last_stimuli,2023-07-14T15:17:37.629+09:00,-1,1689315457.629861,38
91.706113,0.000000,finish_running,2023-07-14T15:17:37.633+09:00,-1,1689315457.637669,39
