latency,duration,type,marker_value,key,timestamp,marker_id
0.101506,2.459550,sensor_check,true,-1,1689315576.000476,1
2.561056,2.412702,phase_Instructions_phase_1,46511,-1,1689315578.460026,2
2.561056,0.000000,published_date,2023-07-14T04:51:31.284338Z,-1,1689315578.460026,3
2.561056,2.412702,text_element_l74n,NULL,-1,1689315578.460026,4
4.973758,70.327527,active_period,true,-1,1689315580.872728,5
5.067455,10.009980,phase_rest,46512,-1,1689315580.966425,6
5.067455,10.009980,rest_10s,rest,-1,1689315580.966425,7
15.077435,1.015053,text_element_0bc1,1,-1,1689315590.976405,8
15.077435,6.027851,phase_1,46513,-1,1689315590.976405,9
16.092488,5.012798,text_element_wssy,wait,-1,1689315591.991458,10
21.105286,1.015052,text_element_0bc1,1,-1,1689315597.004256,11
21.105286,6.020042,phase_2,46514,-1,1689315597.004256,12
22.120338,5.012798,text_element_wssy,wait,-1,1689315598.019308,13
27.133136,6.020043,phase_3,46515,-1,1689315603.032106,14
27.133136,1.015053,text_element_0bc1,1,-1,1689315603.032106,15
28.148189,5.004990,text_element_wssy,wait,-1,1689315604.047159,16
33.153179,1.015053,text_element_0bc1,1,-1,1689315609.052149,17
33.153179,6.027851,phase_4,46516,-1,1689315609.052149,18
34.168232,5.012798,text_element_wssy,wait,-1,1689315610.067202,19
39.188838,6.012234,phase_5,46517,-1,1689315615.087808,20
39.188838,1.007244,text_element_0bc1,1,-1,1689315615.087808,21
40.196082,5.004990,text_element_wssy,wait,-1,1689315616.095052,22
45.201072,1.007245,text_element_0bc1,1,-1,1689315621.100042,23
45.201072,6.020043,phase_6,46518,-1,1689315621.100042,24
46.216125,5.004990,text_element_wssy,wait,-1,1689315622.115095,25
51.221115,6.020042,phase_7,46519,-1,1689315627.120085,26
51.228923,1.007244,text_element_0bc1,1,-1,1689315627.127893,27
52.236167,5.004990,text_element_wssy,wait,-1,1689315628.135137,28
57.248965,6.012235,phase_8,46520,-1,1689315633.147935,29
57.248965,1.007245,text_element_0bc1,1,-1,1689315633.147935,30
58.256210,5.004990,text_element_wssy,wait,-1,1689315634.155180,31
63.269008,6.020042,phase_9,46521,-1,1689315639.167978,32
63.269008,1.007244,text_element_0bc1,1,-1,1689315639.167978,33
64.284060,5.004990,text_element_wssy,wait,-1,1689315640.183030,34
69.289050,6.012235,phase_10,46522,-1,1689315645.188020,35
69.289050,1.007245,text_element_0bc1,1,-1,1689315645.188020,36
70.296295,5.004990,text_element_wssy,wait,-1,1689315646.195265,37
75.293477,0.000000,last_stimuli,2023-07-14T15:20:51.195+09:00,-1,1689315651.192447,38
75.301285,0.000000,finish_running,2023-07-14T15:20:51.197+09:00,-1,1689315651.200255,39
