latency,duration,type,marker_value,key,timestamp,marker_id
0.140545,5.723334,sensor_check,true,-1,1689316471.908932,1
5.871687,2.506398,phase_Instructions_phase_1,46526,-1,1689316477.640074,2
5.871687,2.506398,text_element_l74n,NULL,-1,1689316477.640074,3
5.871687,0.000000,published_date,2023-07-14T04:51:33.699441Z,-1,1689316477.640074,4
8.378085,70.280661,active_period,true,-1,1689316480.146472,5
8.471782,10.017786,phase_rest,46527,-1,1689316480.240169,6
8.471782,10.017786,rest_10s,rest,-1,1689316480.240169,7
18.489568,6.004425,phase_1,46528,-1,1689316490.257955,8
18.489568,0.999436,text_element_0bc1,1,-1,1689316490.257955,9
19.496812,4.997181,text_element_wssy,wait,-1,1689316491.265199,10
24.501801,6.004425,phase_2,46529,-1,1689316496.270188,11
24.501801,0.999436,text_element_0bc1,1,-1,1689316496.270188,12
25.501237,5.004989,text_element_wssy,wait,-1,1689316497.269624,13
30.506226,1.007244,text_element_0bc1,1,-1,1689316502.274613,14
30.506226,6.020041,phase_3,46530,-1,1689316502.274613,15
31.513470,5.012797,text_element_wssy,wait,-1,1689316503.281857,16
36.526267,0.999436,text_element_0bc1,1,-1,1689316508.294654,17
36.526267,6.012233,phase_4,46531,-1,1689316508.294654,18
37.533511,5.004989,text_element_wssy,wait,-1,1689316509.301898,19
42.546308,1.007244,text_element_0bc1,1,-1,1689316514.314695,20
42.546308,6.020041,phase_5,46532,-1,1689316514.314695,21
43.553552,5.012797,text_element_wssy,wait,-1,1689316515.321939,22
48.574157,6.020041,phase_6,46533,-1,1689316520.342544,23
48.574157,1.007244,text_element_0bc1,1,-1,1689316520.342544,24
49.581401,5.012797,text_element_wssy,wait,-1,1689316521.349788,25
54.594198,6.012233,phase_7,46534,-1,1689316526.362585,26
54.594198,1.007244,text_element_0bc1,1,-1,1689316526.362585,27
55.609251,4.997180,text_element_wssy,wait,-1,1689316527.377638,28
60.606431,1.007244,text_element_0bc1,1,-1,1689316532.374818,29
60.606431,6.020041,phase_8,46535,-1,1689316532.374818,30
61.613675,5.012797,text_element_wssy,wait,-1,1689316533.382062,31
66.626472,1.015053,text_element_0bc1,1,-1,1689316538.394859,32
66.626472,6.020041,phase_9,46536,-1,1689316538.394859,33
67.641525,5.004988,text_element_wssy,wait,-1,1689316539.409912,34
72.646513,1.007244,text_element_0bc1,1,-1,1689316544.414900,35
72.646513,6.012233,phase_10,46537,-1,1689316544.414900,36
73.653757,5.004989,text_element_wssy,wait,-1,1689316545.422144,37
78.658746,0.000000,last_stimuli,2023-07-14T15:35:50.425+09:00,-1,1689316550.427133,38
78.658746,0.000000,finish_running,2023-07-14T15:35:50.430+09:00,-1,1689316550.427133,39
