latency,duration,type,marker_value,key,timestamp,marker_id
0.117122,4.458423,sensor_check,true,-1,1689315694.230626,1
4.575545,0.000000,published_date,2023-07-14T04:51:31.284338Z,-1,1689315698.689049,2
4.575545,3.591724,phase_Instructions_phase_1,46511,-1,1689315698.689049,3
4.575545,3.591724,text_element_l74n,NULL,-1,1689315698.689049,4
8.167269,70.335330,active_period,true,-1,1689315702.280773,5
8.260966,10.009979,rest_10s,rest,-1,1689315702.374470,6
8.260966,10.009979,phase_rest,46512,-1,1689315702.374470,7
18.270945,6.027851,phase_1,46513,-1,1689315712.384449,8
18.270945,1.007245,text_element_0bc1,1,-1,1689315712.384449,9
19.285998,5.012798,text_element_wssy,wait,-1,1689315713.399502,10
24.298796,6.012233,phase_2,46514,-1,1689315718.412300,11
24.298796,0.999436,text_element_0bc1,1,-1,1689315718.412300,12
25.306040,5.004989,text_element_wssy,wait,-1,1689315719.419544,13
30.318838,1.007244,text_element_0bc1,1,-1,1689315724.432342,14
30.318838,6.012234,phase_3,46515,-1,1689315724.432342,15
31.326082,5.004990,text_element_wssy,wait,-1,1689315725.439586,16
36.331072,1.015052,text_element_0bc1,1,-1,1689315730.444576,17
36.331072,6.027850,phase_4,46516,-1,1689315730.444576,18
37.346124,5.012798,text_element_wssy,wait,-1,1689315731.459628,19
42.358922,6.020042,phase_5,46517,-1,1689315736.472426,20
42.358922,1.015052,text_element_0bc1,1,-1,1689315736.472426,21
43.373974,5.004990,text_element_wssy,wait,-1,1689315737.487478,22
48.386772,6.020042,phase_6,46518,-1,1689315742.500276,23
48.386772,1.007245,text_element_0bc1,1,-1,1689315742.500276,24
49.394017,5.020605,text_element_wssy,wait,-1,1689315743.507521,25
54.414622,1.007245,text_element_0bc1,1,-1,1689315748.528126,26
54.414622,6.027851,phase_7,46519,-1,1689315748.528126,27
55.421867,5.020606,text_element_wssy,wait,-1,1689315749.535371,28
60.442473,6.027850,phase_8,46520,-1,1689315754.555977,29
60.442473,1.015052,text_element_0bc1,1,-1,1689315754.555977,30
61.457525,5.012798,text_element_wssy,wait,-1,1689315755.571029,31
66.470323,6.012234,phase_9,46521,-1,1689315760.583827,32
66.470323,1.007244,text_element_0bc1,1,-1,1689315760.583827,33
67.477567,5.004990,text_element_wssy,wait,-1,1689315761.591071,34
72.482557,6.020042,phase_10,46522,-1,1689315766.596061,35
72.482557,1.007244,text_element_0bc1,1,-1,1689315766.596061,36
73.489801,5.012798,text_element_wssy,wait,-1,1689315767.603305,37
78.494791,0.000000,last_stimuli,2023-07-14T15:22:52.611+09:00,-1,1689315772.608295,38
78.502599,0.000000,finish_running,2023-07-14T15:22:52.619+09:00,-1,1689315772.616103,39
